@relation GHC_original-weka.filters.unsupervised.attribute.NumericToNominal-R18

@attribute ' forum_id' numeric
@attribute ' posted_time' numeric
@attribute ' deleted' numeric
@attribute ' approved' numeric
@attribute ' unresolved' numeric
@attribute ' anonymous' numeric
@attribute ' title_has_lecture' numeric
@attribute ' title_has_quiz_assignment_grade_project' numeric
@attribute ' posts_count_request' numeric
@attribute ' posts_count_thanks' numeric
@attribute ' posts_countLogistics' numeric
@attribute ' posts_count_problems' numeric
@attribute ' meanposttimes' numeric
@attribute ' varposttimes' numeric
@attribute ' meanDiffFromLandmarks' numeric
@attribute ' numStudentOnlyPostsVotes' numeric
@attribute ' last_updated_time_StudentPostsOnly' numeric
@attribute instructor_replied {0,1}
@attribute ' numStudentPostsOnly' numeric

@data
2,1368739140,0,0,0,0,1,0,0.5,0,0.5,0,1370000000,11881,148909,0,1370000000,0,2
2,1368746071,0,0,0,0,0,0,0,0,0,0,1370000000,0,155731,0,1370000000,0,1
2,1368746200,0,0,0,0,0,0,0,0,0,0,1370000000,28900000,161240,5,1370000000,0,2
2,1368746414,0,0,0,0,0,0,0,0,0,0,1370000000,1920000000,165148.3333,1,1370000000,0,3
2,1368750217,0,0,0,0,0,0,0,0,0,0,1370000000,0,159877,0,1370000000,0,1
2,1368755125,0,0,0,0,0,0,0.125,0.125,1,0.5,1370000000,17000000000,144390.875,3,1370000000,0,8
14,1368783609,0,0,0,0,0,0,0,0,1,0,1370000000,80000000,202210.5,2,1370000000,0,2
7,1368783612,0,0,1,1,0,0,0,0,1,0,1370000000,0,193272,0,1370000000,0,1
16,1368809053,0,0,0,0,0,0,0,0,0,0,1370000000,108000000000,186402.5,7,1370000000,0,2
2,1368818037,0,0,0,0,0,0,0,1,0,0,1370000000,102000000000,186836.5,2,1370000000,0,2
7,1368820367,0,0,1,0,0,0,0,0,0.333333,0.666667,1370000000,2960000000,124968,-1,1370000000,0,3
2,1368829438,0,0,0,0,0,0,0,0,0,0,1370000000,0,192902,0,1370000000,0,1
2,1368840505,0,0,0,1,0,0,0,0,4,0,1370000000,0,181835,0,1370000000,0,1
2,1368876327,0,0,0,0,1,0,0,0.4,0.4,0.2,1370000000,1350000000,119547.4,9,1370000000,1,5
17,1368891482,0,0,0,0,1,0,0,0,0,0,1370000000,0,130858,0,1370000000,0,1
17,1368893567,0,0,0,0,0,0,0,0,2,0,1370000000,0,128773,3,1370000000,0,1
2,1368893686,0,0,0,0,0,0,0,0,0,1,1370000000,0,128654,1,1370000000,0,1
2,1368897907,0,0,0,0,0,0,0.142857,0.285714,1,0.142857,1370000000,8090000000,94003.42857,23,1370000000,1,7
12,1368907070,0,0,0,0,0,0,0,0.25,0,0,1370000000,83300000,104857,2,1370000000,0,4
2,1368915165,0,0,0,1,0,0,0,0,0,0,1370000000,0,107175,0,1370000000,0,1
2,1368926308,0,0,0,0,0,0,0,0,0,0,1370000000,0,96032,1,1370000000,0,1
